max,min,wind,rain,humidi,cloud,pressure,date,temp
32,24,7,0.0,67,13,1011,2017-01-30,30.312549213361248
34,26,7,0.1,67,44,1011,2018-01-30,38.497549213361246
36,25,12,0.0,53,20,1013,2019-01-30,33.48153903091735
33,23,12,0.0,66,24,1012,2020-01-30,32.021539030917346
32,24,7,0.0,57,8,1012,2021-01-30,29.132549213361248
36,22,7,0.0,57,15,1011,2009-02-07,31.512549213361247
36,25,12,0.0,60,12,1013,2010-02-07,32.021539030917346
34,22,5,0.0,65,4,1009,2011-02-07,28.67835921350013
34,24,7,1.6,72,21,1010,2012-02-07,32.75254921336124
36,25,7,0.0,69,17,1010,2013-02-07,33.632549213361244
35,20,11,0.0,73,22,1008,2014-02-07,31.27002512578676
33,22,8,0.0,57,4,1014,2015-02-07,27.762943725152287
34,21,12,0.0,50,5,1014,2016-02-07,27.441539030917347
